working_set_ratio, object_store_size,object_size,baseline_pipeline,ray_pipeline
1,1000000000,10000000,0.22511780399509007,0.6385099850012921
1,1000000000,20000000,0.22650829699705355,0.6217466410016641
1,1000000000,40000000,0.1646931740033324,0.5926628859961056
1,1000000000,80000000,0.1928768450015923,0.6105288230028236
1,1000000000,160000000,0.1547309099987615,0.7336131749980268
1,5000000000,10000000,1.1369096780035761,1.4809315169986803
1,5000000000,20000000,1.1700410769990413,1.5644471060004435
1,5000000000,40000000,1.135201048993622,1.94074333300523
1,5000000000,80000000,0.6000011029973393,1.6000832310019177
1,5000000000,160000000,0.5882499500003178,1.2518317509966437
1,10000000000,10000000,1.6659418810013449,3.0103042729970184
1,10000000000,20000000,1.6932278370004497,3.799863232001371
1,10000000000,40000000,1.8213361449961667,5.425400080996042
1,10000000000,80000000,1.989518931004568,5.481506387994159
1,10000000000,160000000,3.0946740269937436,2.6499286649996066
2,1000000000,10000000,0.8496943280042615,0.8208039730016026
2,1000000000,20000000,0.8139353619990288,1.3340654079947853
2,1000000000,40000000,0.7613939160000882,2.8510244480057736
2,1000000000,80000000,0.7816684930003248,0.7575767890011775
2,1000000000,160000000,0.8707057520005037,0.5881755509981303
2,5000000000,10000000,2.6012852560015745,3.365353373999824
2,5000000000,20000000,2.703922168002464,3.6039435529964976
2,5000000000,40000000,3.0337464779950096,4.141035642998759
2,5000000000,80000000,2.129653859999962,4.08801206699718
2,5000000000,160000000,1.8627330060044187,4.187188590003643
2,10000000000,10000000,6.89624914599699,6.946983043002547
2,10000000000,20000000,7.536791516002268,7.102122785996471
2,10000000000,40000000,9.6704364670004,8.493375101999845
2,10000000000,80000000,10.286217032997229,8.384066412996617
2,10000000000,160000000,3.1115179080006783,8.706418574001873
4,1000000000,10000000,1.4155133879976347,1.4510707419976825
4,1000000000,20000000,1.5246571290044812,5.604831837001257
4,1000000000,40000000,1.5356644450002932,1.6552833239984466
4,1000000000,80000000,0.8825056279965793,3.8942880449976656
4,1000000000,160000000,0.3281772469999851,3.3861760619984125
4,5000000000,10000000,5.917019607004477,7.293723435999709
4,5000000000,20000000,6.1117619020005804,6.994164329000341
4,5000000000,40000000,7.291341843003465,8.182149471002049
4,5000000000,80000000,6.074662453000201,7.795721726004558
4,5000000000,160000000,5.547860414000752,7.729203442002472
4,10000000000,10000000,14.117367644001206,16.493559511000058
4,10000000000,20000000,12.62650933599798,15.743983812004444
4,10000000000,40000000,14.456322101999831,17.428031447998364
4,10000000000,80000000,15.08197064900014,17.556004275000305
4,10000000000,160000000,11.43118126400077,16.97993909800425
8,1000000000,10000000,2.853550799001823,7.029300709000381
8,1000000000,20000000,2.87834865199693,7.213059261004673
8,1000000000,40000000,3.129962835999322,3.860631937001017
8,1000000000,80000000,2.858040853003331,5.381967904999328
8,1000000000,160000000,0.5068693130015163,4.177872930995363
8,5000000000,10000000,13.442922057001851,15.856957803000114
8,5000000000,20000000,13.938420218997635,15.55080645000271
8,5000000000,40000000,15.802020814997377,17.207355427999573
8,5000000000,80000000,14.329285765998065,17.768652576000022
8,5000000000,160000000,14.015740017006465,16.829773345998547
8,10000000000,10000000,27.370071640994865,32.67310696899949
8,10000000000,20000000,28.848773580000852,34.19480860600015
8,10000000000,40000000,32.29200314800255,37.495227257000806
8,10000000000,80000000,31.770184517998132,36.61661231399921
8,10000000000,160000000,28.012382813998556,36.15917482200166
16,1000000000,10000000,5.317848430000595,18.3741822660013
16,1000000000,20000000,5.606592203999753,8.247645094998006
16,1000000000,40000000,6.052943177994166,6.691369333995681
16,1000000000,80000000,0.9304602740012342,8.780959151001298
16,1000000000,160000000,4.789048473998264,8.519288768002298
16,5000000000,10000000,26.662363464005466,31.950069443999382
16,5000000000,20000000,28.49150144700252,34.18007169899647
16,5000000000,40000000,32.18790419400466,37.34004689899302
16,5000000000,80000000,30.148593502002768,36.04108315799385
16,5000000000,160000000,28.849612459001946,36.02757426699827
16,10000000000,20000000,60.46630842400191,508.28720903499925
16,10000000000,40000000,66.69599082600325,88.52848608099885
16,10000000000,80000000,65.01670058900345,86.42707012099709
16,10000000000,160000000,60.65008379799838,81.0956170540012
