num_shards,num_raylets,target_throughput,throughput,lineage,queue,timed_out
1,32,3200,3196.0898662110144,False,False,False
1,32,6400,6392.253769763961,False,False,False
1,32,9600,9584.82315864288,False,False,False
1,32,12800,12781.18488384385,False,False,False
1,32,16000,15979.127120117106,False,False,False
1,32,19200,19163.773411680897,False,False,False
1,32,22400,22368.911129239463,False,False,False
1,32,25600,25545.71141917176,False,False,False
1,32,28800,28756.91551872578,False,False,False
1,32,32000,31926.647754099115,False,False,False
1,32,35200,35143.45305074505,False,False,False
1,32,38400,38304.4990505006,False,False,False
1,32,41600,41530.06956215784,False,False,False
1,32,44800,44674.22928212302,False,False,False
1,32,48000,47915.56758999472,False,False,False
1,32,51200,51049.52900546322,False,False,False
1,32,54400,54293.22719715838,False,False,False
1,32,57600,57397.92615100339,False,False,False
1,32,60800,60671.77591303982,False,False,False
1,32,64000,63775.68078851816,False,False,False
1,32,67200,67046.21038062486,False,False,False
1,32,70400,70138.83453080534,False,False,False
1,32,73600,73441.18808369158,False,False,False
1,32,76800,76508.90668152263,False,False,False
1,32,80000,79790.61902303336,False,False,False
1,32,83200,82178.03520953155,False,False,False
1,32,86400,85375.25743153013,False,False,False
1,32,89600,88620.96440128896,False,False,False
1,32,92800,91069.81448259379,False,False,False
1,32,96000,92955.90695438895,False,False,False
1,32,99200,95992.06348251361,False,False,False
1,32,102400,98517.98412085428,False,False,False
1,32,105600,102212.97688821399,False,False,False
1,32,108800,105020.54562516713,False,False,False
1,32,112000,107588.51452868833,False,False,False
1,32,115200,111151.18216666937,False,False,False
1,32,118400,114285.55529518744,False,False,False
1,32,121600,117546.22492893832,False,False,False
1,32,124800,110886.32444800093,False,False,False
1,32,128000,115653.7102690079,False,False,False
1,32,131200,116812.64026043151,False,False,False
1,32,134400,115168.65286086327,False,False,False
1,32,137600,119785.56835877904,False,False,False
1,32,140800,115649.4050430929,False,False,False
1,32,144000,115421.31186362494,False,False,False
1,32,147200,117200.3080111047,False,False,False
1,32,150400,114980.60814593651,False,False,False
1,32,153600,113534.3867146391,False,False,False
1,32,156800,112208.73251375768,False,False,False
1,32,160000,113710.70894943281,False,False,False
1,32,163200,112863.70985561625,False,False,False
1,32,166400,104299.7498961254,False,False,False
1,32,169600,114685.70664943244,False,False,False
1,32,172800,112581.25409450286,False,False,False
1,32,176000,114946.05154243152,False,False,False
1,32,179200,113745.44511841172,False,False,False
1,32,182400,112422.31209096356,False,False,False
1,32,185600,114982.72432332767,False,False,False
1,32,188800,113694.25981071862,False,False,False
1,32,192000,114768.30418450786,False,False,False
1,32,195200,97635.12630588906,False,False,False
1,32,198400,112750.31020674384,False,False,False
1,32,201600,113648.93244674598,False,False,False
1,32,204800,115269.64552855624,False,False,False
1,32,208000,115818.46487296134,False,False,False
1,32,211200,101285.76236237896,False,False,False
1,32,214400,113545.92480325348,False,False,False
1,32,217600,115984.55585496454,False,False,False
1,32,220800,115905.37880932017,False,False,False
1,32,224000,116995.46555165392,False,False,False
1,32,227200,116882.30193552155,False,False,False
1,32,230400,120449.29278254113,False,False,False
1,32,233600,116568.19084984537,False,False,False
1,32,236800,115947.30808292408,False,False,False
1,32,240000,116836.70077991264,False,False,False
1,32,243200,115285.96487581157,False,False,False
1,32,246400,-1,False,False,False
1,32,249600,-1,False,False,False
1,32,252800,-1,False,False,False
2,32,3200,-1,False,False,False
2,32,6400,-1,False,False,False
2,32,9600,-1,False,False,False
2,32,12800,-1,False,False,False
2,32,16000,-1,False,False,False
2,32,19200,-1,False,False,False
2,32,22400,-1,False,False,False
2,32,25600,-1,False,False,False
2,32,28800,-1,False,False,False
2,32,32000,-1,False,False,False
2,32,35200,-1,False,False,False
2,32,38400,-1,False,False,False
2,32,41600,-1,False,False,False
2,32,44800,-1,False,False,False
2,32,48000,-1,False,False,False
2,32,51200,-1,False,False,False
2,32,54400,-1,False,False,False
2,32,57600,-1,False,False,False
2,32,60800,-1,False,False,False
2,32,64000,-1,False,False,False
2,32,67200,-1,False,False,False
2,32,70400,-1,False,False,False
2,32,73600,-1,False,False,False
2,32,76800,-1,False,False,False
2,32,80000,-1,False,False,False
2,32,83200,-1,False,False,False
2,32,86400,-1,False,False,False
2,32,89600,-1,False,False,False
2,32,92800,-1,False,False,False
2,32,96000,-1,False,False,False
2,32,99200,-1,False,False,False
2,32,102400,-1,False,False,False
2,32,105600,-1,False,False,False
2,32,108800,-1,False,False,False
2,32,112000,-1,False,False,False
2,32,115200,-1,False,False,False
2,32,118400,-1,False,False,False
2,32,121600,-1,False,False,False
2,32,124800,-1,False,False,False
2,32,128000,-1,False,False,False
2,32,131200,-1,False,False,False
2,32,134400,-1,False,False,False
2,32,137600,-1,False,False,False
2,32,140800,-1,False,False,False
2,32,144000,-1,False,False,False
2,32,147200,-1,False,False,False
2,32,150400,-1,False,False,False
2,32,153600,-1,False,False,False
2,32,156800,-1,False,False,False
2,32,160000,-1,False,False,False
2,32,163200,-1,False,False,False
2,32,166400,-1,False,False,False
2,32,169600,-1,False,False,False
2,32,172800,-1,False,False,False
2,32,176000,-1,False,False,False
2,32,179200,-1,False,False,False
2,32,182400,-1,False,False,False
2,32,185600,-1,False,False,False
2,32,188800,-1,False,False,False
2,32,192000,-1,False,False,False
2,32,195200,-1,False,False,False
2,32,198400,-1,False,False,False
2,32,201600,-1,False,False,False
2,32,204800,-1,False,False,False
2,32,208000,-1,False,False,False
2,32,211200,-1,False,False,False
2,32,214400,-1,False,False,False
2,32,217600,-1,False,False,False
2,32,220800,-1,False,False,False
2,32,224000,-1,False,False,False
2,32,227200,-1,False,False,False
2,32,230400,-1,False,False,False
2,32,233600,-1,False,False,False
2,32,236800,165029.13761072716,False,True,False
2,32,240000,-1,False,False,False
2,32,243200,-1,False,False,False
2,32,246400,-1,False,False,False
2,32,249600,-1,False,False,False
2,32,252800,-1,False,False,False
4,32,3200,-1,False,False,False
4,32,6400,-1,False,False,False
4,32,9600,-1,False,False,False
4,32,12800,-1,False,False,False
4,32,16000,-1,False,False,False
4,32,19200,-1,False,False,False
4,32,22400,-1,False,False,False
4,32,25600,-1,False,False,False
4,32,28800,-1,False,False,False
4,32,32000,-1,False,False,False
4,32,35200,-1,False,False,False
4,32,38400,-1,False,False,False
4,32,41600,-1,False,False,False
4,32,44800,-1,False,False,False
4,32,48000,-1,False,False,False
4,32,51200,-1,False,False,False
4,32,54400,-1,False,False,False
4,32,57600,-1,False,False,False
4,32,60800,-1,False,False,False
4,32,64000,-1,False,False,False
4,32,67200,-1,False,False,False
4,32,70400,-1,False,False,False
4,32,73600,-1,False,False,False
4,32,76800,-1,False,False,False
4,32,80000,-1,False,False,False
4,32,83200,-1,False,False,False
4,32,86400,-1,False,False,False
4,32,89600,-1,False,False,False
4,32,92800,-1,False,False,False
4,32,96000,-1,False,False,False
4,32,99200,-1,False,False,False
4,32,102400,-1,False,False,False
4,32,105600,-1,False,False,False
4,32,108800,-1,False,False,False
4,32,112000,-1,False,False,False
4,32,115200,-1,False,False,False
4,32,118400,-1,False,False,False
4,32,121600,-1,False,False,False
4,32,124800,-1,False,False,False
4,32,128000,-1,False,False,False
4,32,131200,-1,False,False,False
4,32,134400,-1,False,False,False
4,32,137600,-1,False,False,False
4,32,140800,-1,False,False,False
4,32,144000,-1,False,False,False
4,32,147200,-1,False,False,False
4,32,150400,-1,False,False,False
4,32,153600,-1,False,False,False
4,32,156800,-1,False,False,False
4,32,160000,-1,False,False,False
4,32,163200,-1,False,False,False
4,32,166400,-1,False,False,False
4,32,169600,-1,False,False,False
4,32,172800,-1,False,False,False
4,32,176000,-1,False,False,False
4,32,179200,-1,False,False,False
4,32,182400,-1,False,False,False
4,32,185600,-1,False,False,False
4,32,188800,-1,False,False,False
4,32,192000,-1,False,False,False
4,32,195200,-1,False,False,False
4,32,198400,-1,False,False,False
4,32,201600,-1,False,False,False
4,32,204800,-1,False,False,False
4,32,208000,-1,False,False,False
4,32,211200,-1,False,False,False
4,32,214400,-1,False,False,False
4,32,217600,-1,False,False,False
4,32,220800,-1,False,False,False
4,32,224000,-1,False,False,False
