num_shards,num_raylets,target_throughput,throughput
1,1,5000,4966.831954619282
1,1,6000,5951.0385203561245
1,1,7000,6899.463190264783
1,1,8000,7848.217860467042
1,1,9000,-1
1,1,10000,-1
1,2,10000,9933.385303387744
1,2,12000,11894.77328610821
1,2,14000,13788.904250973137
1,2,16000,15710.029751474875
1,2,18000,-1
1,2,20000,-1
1,4,20000,19852.57560896063
1,4,24000,23764.972841463325
1,4,28000,27546.810832310173
1,4,32000,31007.832514246333
1,4,36000,-1
1,4,40000,-1
1,8,40000,39493.54819803649
1,8,48000,-1
1,8,56000,-1
1,8,64000,-1
1,8,72000,-1
1,8,80000,-1
1,12,60000,-1
1,12,72000,-1
1,12,84000,-1
1,12,96000,-1
1,12,108000,-1
1,12,120000,-1
2,1,5000,4966.124257951091
2,1,6000,5949.963638200055
2,1,7000,6899.524874492321
2,1,8000,7868.702892100597
2,1,9000,-1
2,1,10000,-1
2,2,10000,9932.718524305825
2,2,12000,11882.514950319552
2,2,14000,13779.784838702948
2,2,16000,15664.939648835547
2,2,18000,-1
2,2,20000,-1
2,4,20000,19859.931577456413
2,4,24000,23749.907870668674
2,4,28000,27557.13270124334
2,4,32000,-1
2,4,36000,-1
2,4,40000,-1
2,8,40000,39659.455258735106
2,8,48000,47437.756859461304
2,8,56000,55120.134893269686
2,8,64000,-1
2,8,72000,-1
2,8,80000,-1
2,12,60000,59419.73096068306
2,12,72000,63231.45232726965
2,12,84000,-1
2,12,96000,-1
2,12,108000,-1
2,12,120000,-1
4,1,5000,4966.446560133373
4,1,6000,5949.957307823854
4,1,7000,6897.136281917262
4,1,8000,7865.371108531516
4,1,9000,-1
4,1,10000,-1
4,2,10000,9930.3699850065
4,2,12000,11893.414599676378
4,2,14000,13775.709231948944
4,2,16000,14179.125492628893
4,2,18000,-1
4,2,20000,-1
4,4,20000,19857.803293621117
4,4,24000,23724.615583839935
4,4,28000,27506.686930993175
4,4,32000,-1
4,4,36000,-1
4,4,40000,-1
4,8,40000,39667.6261260054
4,8,48000,47407.98142948977
4,8,56000,54965.60569949004
4,8,64000,-1
4,8,72000,-1
4,8,80000,-1
4,12,60000,59409.5681388644
4,12,72000,71062.92500684786
4,12,84000,76300.48192492733
4,12,96000,-1
4,12,108000,-1
4,12,120000,-1
8,1,5000,4966.00651430317
8,1,6000,5949.869823404165
8,1,7000,6892.84889835558
8,1,8000,7859.298178627232
8,1,9000,-1
8,1,10000,-1
8,2,10000,9929.124176294115
8,2,12000,11896.51044181009
8,2,14000,13765.981362592905
8,2,16000,15718.052810815785
8,2,18000,-1
8,2,20000,-1
8,4,20000,19861.403237248665
8,4,24000,23758.104178391626
8,4,28000,27554.76698106349
8,4,32000,-1
8,4,36000,-1
8,4,40000,-1
8,8,40000,39691.514996892285
8,8,48000,47427.28992810775
8,8,56000,54910.47191436053
8,8,64000,-1
8,8,72000,-1
8,8,80000,-1
8,12,60000,59324.595855730986
8,12,72000,71149.8556251587
8,12,84000,-1
8,12,96000,-1
8,12,108000,-1
8,12,120000,-1
16,1,5000,4966.864450937005
16,1,6000,5949.373451842391
16,1,7000,6918.064443103394
16,1,8000,7869.519686764033
16,1,9000,-1
16,1,10000,-1
16,2,10000,9921.90742674986
16,2,12000,11891.383178215283
16,2,14000,13795.627461577531
16,2,16000,-1
16,2,18000,-1
16,2,20000,-1
16,4,20000,19853.11734156585
16,4,24000,23712.486642199085
16,4,28000,27486.36909411307
16,4,32000,-1
16,4,36000,-1
16,4,40000,-1
16,8,40000,39635.24679058182
16,8,48000,47494.43371171914
16,8,56000,50372.32730629356
16,8,64000,-1
16,8,72000,-1
16,8,80000,-1
16,12,60000,59531.06785433626
16,12,72000,71140.60859695433
16,12,84000,-1
16,12,96000,-1
16,12,108000,-1
16,12,120000,-1
