num_shards,num_raylets,target_throughput,throughput
1,1,5000,4966.9593249725995
1,1,6000,5950.022933377802
1,1,7000,6898.444510222173
1,1,8000,7835.975220683293
1,1,9000,8157.8499177802205
1,1,10000,-1
1,2,10000,9932.770978897293
1,2,12000,11891.16497108766
1,2,14000,-1
1,2,16000,-1
1,2,18000,11461.156807476405
1,2,20000,-1
1,4,20000,19861.379489589006
1,4,24000,23785.149133672858
1,4,28000,-1
1,4,32000,31218.25160317809
1,4,36000,-1
1,4,40000,-1
1,8,40000,39709.93469738331
1,8,48000,47509.23302460564
1,8,56000,55081.11670971044
1,8,64000,-1
1,8,72000,-1
1,8,80000,-1
1,12,60000,59529.2973992291
1,12,72000,71103.56063331717
1,12,84000,82569.84239929705
1,12,96000,-1
1,12,108000,-1
1,12,120000,-1
2,1,5000,4966.53621356083
2,1,6000,5950.60957618628
2,1,7000,-1
2,1,8000,-1
2,1,9000,-1
2,1,10000,-1
2,2,10000,9932.75221984859
2,2,12000,-1
2,2,14000,13800.583583523443
2,2,16000,15669.260163416222
2,2,18000,-1
2,2,20000,-1
2,4,20000,19861.646360120183
2,4,24000,-1
2,4,28000,27579.011197753018
2,4,32000,-1
2,4,36000,-1
2,4,40000,-1
2,8,40000,39706.038283055335
2,8,48000,47509.34603449816
2,8,56000,54932.596415889864
2,8,64000,-1
2,8,72000,-1
2,8,80000,-1
2,12,60000,59543.30655360347
2,12,72000,-1
2,12,84000,82158.20262477803
2,12,96000,-1
2,12,108000,-1
2,12,120000,-1
4,1,5000,4966.846688191188
4,1,6000,5950.80650036068
4,1,7000,6901.15851753325
4,1,8000,7845.625296936984
4,1,9000,-1
4,1,10000,-1
4,2,10000,9917.951921589825
4,2,12000,-1
4,2,14000,13787.902272094096
4,2,16000,-1
4,2,18000,-1
4,2,20000,-1
4,4,20000,19863.7105578868
4,4,24000,23726.01079749397
4,4,28000,27537.187075050842
4,4,32000,29540.782327990215
4,4,36000,-1
4,4,40000,-1
4,8,40000,39677.019221248665
4,8,48000,-1
4,8,56000,55023.72533488604
4,8,64000,-1
4,8,72000,-1
4,8,80000,-1
4,12,60000,59478.7977319006
4,12,72000,71240.65328781375
4,12,84000,-1
4,12,96000,-1
4,12,108000,-1
4,12,120000,-1
8,1,5000,4966.776314852654
8,1,6000,5950.452215068372
8,1,7000,6898.741561064825
8,1,8000,-1
8,1,9000,-1
8,1,10000,-1
8,2,10000,9914.904186157295
8,2,12000,11896.20010181944
8,2,14000,13801.282225192468
8,2,16000,15665.74033909817
8,2,18000,-1
8,2,20000,-1
8,4,20000,19817.772277781205
8,4,24000,-1
8,4,28000,27549.62621039367
8,4,32000,31149.43606126774
8,4,36000,-1
8,4,40000,-1
8,8,40000,39700.01942204442
8,8,48000,-1
8,8,56000,55097.011831821765
8,8,64000,-1
8,8,72000,-1
8,8,80000,-1
8,12,60000,59528.499338271264
8,12,72000,-1
8,12,84000,82595.2585851354
8,12,96000,-1
8,12,108000,-1
8,12,120000,-1
16,1,5000,4965.906767311616
16,1,6000,5950.975489844781
16,1,7000,6912.962127031191
16,1,8000,7819.419403209945
16,1,9000,7919.806087198732
16,1,10000,-1
16,2,10000,9917.795908102627
16,2,12000,11891.98474315639
16,2,14000,13782.53744346086
16,2,16000,15662.392143665258
16,2,18000,-1
16,2,20000,-1
16,4,20000,19862.050324048134
16,4,24000,-1
16,4,28000,27507.28809962845
16,4,32000,-1
16,4,36000,-1
16,4,40000,-1
16,8,40000,39664.20218028312
16,8,48000,47474.38504527171
16,8,56000,55148.69394736002
16,8,64000,-1
16,8,72000,-1
16,8,80000,-1
16,12,60000,59514.18786326573
16,12,72000,-1
16,12,84000,82512.11913422162
16,12,96000,-1
16,12,108000,-1
16,12,120000,-1
