num_shards,num_raylets,target_throughput,throughput,lineage,queue,timed_out
1,32,16000,15979.041450691006,False,False,False
1,32,19200,19168.88910321436,False,False,False
1,32,22400,22368.602554799912,False,False,False
1,32,25600,25547.694957032047,False,False,False
1,32,28800,28756.437284423842,False,False,False
1,32,32000,31925.520357581314,False,False,False
1,32,35200,35139.30530421054,False,False,False
1,32,38400,38302.22017360915,False,False,False
1,32,41600,41527.83385062311,False,False,False
1,32,44800,44675.25737766563,False,False,False
1,32,48000,47915.3665692411,False,False,False
1,32,51200,51051.90901542609,False,False,False
1,32,54400,54287.510991882125,False,False,False
1,32,57600,57405.577214025536,False,False,False
1,32,60800,60593.19845797346,False,False,False
1,32,64000,63773.0139190109,False,False,False
1,32,67200,67053.67616365715,False,False,False
1,32,70400,70143.133068493,False,False,False
1,32,73600,73402.62006511583,False,False,False
1,32,76800,76509.57435837135,False,False,False
1,32,80000,79809.4549415495,False,False,False
1,32,83200,82862.20360994099,False,False,False
1,32,86400,86154.18301966655,False,False,False
1,32,89600,89212.38684443815,False,False,False
1,32,92800,92482.15261614387,False,False,False
1,32,96000,94982.49637816339,False,False,False
1,32,99200,98901.25307064931,False,False,False
1,32,102400,98803.93482135961,False,False,False
1,32,105600,102472.40802722833,False,False,False
1,32,108800,105709.88513686239,False,False,False
1,32,112000,-1,False,False,False
1,32,115200,-1,False,False,False
1,32,118400,-1,False,False,False
1,32,121600,-1,False,False,False
1,32,124800,-1,False,False,False
1,32,128000,-1,False,False,False
1,32,131200,-1,False,False,False
1,32,134400,-1,False,False,False
1,32,137600,-1,False,False,False
1,32,140800,-1,False,False,False
1,32,144000,-1,False,False,False
1,32,147200,-1,False,False,False
1,32,150400,-1,False,False,False
1,32,153600,-1,False,False,False
1,32,156800,-1,False,False,False
1,32,160000,-1,False,False,False
1,32,163200,-1,False,False,False
1,32,166400,-1,False,False,False
1,32,169600,-1,False,False,False
1,32,172800,-1,False,False,False
1,32,176000,-1,False,False,False
1,32,179200,-1,False,False,False
1,32,182400,-1,False,False,False
1,32,185600,-1,False,False,False
1,32,188800,-1,False,False,False
1,32,192000,-1,False,False,False
1,32,195200,-1,False,False,False
1,32,198400,-1,False,False,False
1,32,201600,-1,False,False,False
1,32,204800,-1,False,False,False
